ODC_0	ODC_1	ODC_2	ODC_5	ODC_6	IBD-AP_0	PSO-AP_0	RA_AP_0	RA_AP_2	CTR_0	MP-ST_0	MP-ST_2	MP-ST_3	MP-ST_5	MP-ST_6	MP-TA_0	BRE-ST_0	BRE-ST_1	COL_0	COL_2	MM-ST_0	UM-ST_0	UM-ST_1
Defective factor VIII causes hemophilia A	0.674132303025971	0.591514068496437	0.593646401755653	0.582525173283324	0.586602911294369	0.695260656556646	0.705009034554561	0.0905296510390772	0.138959807225591	0.153686324958498	0.67745418213038	0.720962423441234	0.699604601134654	0.707741849300224	0.692782407168469	0.190856881788522	0.241984379840755	0.30139645436473	0.681137640997461	0.164425743410011	0.332115151918863	0.732480694453829	0.312736963179581
WNT5A-dependent internalization of FZD2, FZD5 and ROR2	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.00376915269308303	0.99936320502732	0.721970990670677	0.251644985790318	0.0216225118705469	0.30629408159157	0.348333361896492	0.302839055917379	0.28466672166239	0.0408871983381746	0.482925132267599	0.242484371043949	0.00903665261529101	0.0809763677224281	0.0278672279043294	0.620249676850397	0.0753630744817684	0.0303782962134048
Cohesin Loading onto Chromatin	0.99936320502732	0.744725803731963	0.719436528501464	0.740990657731735	0.717062803716896	0.99936320502732	0.240818603963514	0.99936320502732	0.99936320502732	0.00869345938498966	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.568006994891172	0.99936320502732	0.244418415905223	0.0342572607012075	0.99936320502732	0.00216362821778288	0.737779320968957	0.99936320502732	0.019230400520542
RNA Polymerase II Transcription Initiation	0.690362371049367	0.674324800767099	0.00121249733931704	0.00197868725866524	0.00195406268371386	0.636832740794942	0.163774619670871	0.356696551037275	0.362812620231937	0.00377739965575321	0.642693317058238	0.637047851479918	0.648298561522457	0.635087990846149	0.428592223023623	0.671142984984864	0.254743241887205	0.00441582288151633	0.648550482016187	0.00427940021710909	0.00239113104099747	0.99936320502732	0.000702242486366537
MET activates STAT3	0.58446453575087	0.290468124201837	0.277597103045196	0.571018334319838	0.60025736471402	0.754205537082115	0.747337919987112	0.465663663278842	0.473208299147248	0.296800211666072	0.444616925819643	0.451041702595875	0.468744181191329	0.406396537988276	0.711455317939436	0.567959415048271	0.255757637568937	0.231233691180368	0.622324128345183	0.403527632824323	0.287636082491739	0.536073984412817	0.25819234808254
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	0.684068330519212	0.584649542721927	0.586117240091544	0.580663825981405	0.582603297155686	0.691360514127888	0.714286116336517	0.113864520378427	0.106844175691694	0.124468630685219	0.290681023323895	0.242440861610599	0.245021603071185	0.282351338824333	0.26105589875098	0.280720006920695	0.259852491726902	0.124355610698322	0.688812198176832	0.162997860147387	0.270028302995904	0.687672530449744	0.25716084980755
Acetylcholine regulates insulin secretion	0.754665409259607	0.797835954587421	0.785228574857727	0.770712913408792	0.780577375141511	0.542583531373547	0.548818484078279	0.00145739668350994	0.00136235252328169	0.00791641604261841	0.0233887406159299	0.269456775684864	0.31536727367406	0.396384462922035	0.311039215721768	0.00243720396485141	0.260745591552026	0.454023328031203	0.412345984322178	0.113663312816448	0.0118761904550191	0.0210322369206055	0.00417501458604846
SMAD4 MH2 Domain Mutants in Cancer	0.765102152989992	0.390081453611499	0.354735628486295	0.385859083181727	0.387139053919577	0.387857401913745	0.701968562323045	0.168730217690773	0.118896521907367	0.143538421301784	0.592773647340363	0.485019430667854	0.502066648043127	0.60944307683134	0.561082664766247	0.765521354320694	0.261842826113923	0.116746649080099	0.77260624467308	0.335661660152232	0.596365297529962	0.445220925144636	0.109846640107384
POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation	6.85510081208292e-05	0.000307418609872399	0.00106087617845142	0.000695007983311609	0.000474044246303331	0.306983242508025	0.774007106953092	0.771693351932845	0.764562320456264	0.0597273760988071	0.777748346101078	0.302295842893328	0.261067653623867	0.102306738438657	0.680245543243245	0.023480461754644	0.262669566280352	0.224602117285332	0.0124673963455242	0.03048127980456	0.136859132507948	0.732201614697874	0.156645631027807
RUNX1 regulates expression of components of tight junctions	0.70188651297712	0.700917621101807	0.704888492458571	0.701586346696844	0.692060202423305	0.650124641069523	0.69480934131117	0.99936320502732	0.99936320502732	0.465321087686043	0.99936320502732	0.736110269207089	0.723292059584215	0.730197332405043	0.115206460392768	0.99936320502732	0.268076906527654	0.628197940289755	0.694351259689282	0.649187085595326	0.669060327811929	0.99936320502732	0.584760778290552
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	0.684316531097886	0.677077775778076	0.000623923066067457	0.00058627909708947	0.00114247216850339	0.635537443562204	0.157381926138896	0.364726140228391	0.372226663477894	0.00568554535688215	0.654361046570689	0.641932154902999	0.630798764038827	0.637007806385035	0.458458175246894	0.652602368486694	0.272023107917913	0.00505914085239402	0.641808859131688	0.00800738054318774	0.00358226626574756	0.99936320502732	0.000517111606580012
Nef Mediated CD4 Down-regulation	0.99936320502732	0.99936320502732	0.99936320502732	0.682169969008315	0.700777655185401	0.655998127402062	0.641919195772706	0.641893028946846	0.621738386655526	0.479590784039063	0.64293895742979	0.652143205869672	0.653266072086607	0.62879796377503	0.577928134380137	0.623916301717644	0.274083408446528	0.0448173974039268	0.730537221471914	0.624839124584959	0.578532721722316	0.530931519351126	0.536554723730489
CYP2E1 reactions	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.000138917491755898	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.99936320502732	0.274575638545025	0.169111351545027	0.99936320502732	0.553135943286258	0.99936320502732	0.99936320502732	0.99936320502732
Drug resistance in ERBB2 TMD/JMD mutants	0.731091369654421	0.786319661536078	0.834351134549991	0.821714667481067	0.804406932446871	0.703827123490142	0.669229711823232	0.270635525866041	0.633523897294779	0.192855416767805	0.855978818146468	0.789075602770776	0.801415364052225	0.783845832911684	0.512427294399089	0.555249269357712	0.278418938420568	0.211522768854011	0.604769415711189	0.207434976688627	0.253111484560248	0.297628605030814	0.170382953158647
Resistance of ERBB2 KD mutants to osimertinib	0.735882673321094	0.802502325577486	0.791469737234263	0.840778265425647	0.82980192213564	0.718489632640003	0.639389957499085	0.28969125486401	0.646242491120136	0.184786314047921	0.893340566448424	0.79111833279282	0.802580234932131	0.75185738296834	0.4960993098969	0.523586703119698	0.280536419636304	0.21498540971323	0.630097897249985	0.215807389611506	0.215190637133338	0.29301827682238	0.160664237272139
VxPx cargo-targeting to cilium	0.793444616672109	0.814775740691645	0.793492125258068	0.812155410581122	0.813072637901497	0.489155824238148	0.778276107948811	0.77525013428043	0.814750330321775	0.00206827074425073	0.730598891371585	0.325341610908346	0.14800279706615	0.0103145960585984	0.000211071000471078	0.778510074340488	0.281674474067848	0.00905807599666532	0.677656205753312	0.00020061632554924	6.29830281129953e-05	0.000589843595373517	0.000117001290848335
Drug resistance in ERBB2 KD mutants	0.699816558683284	0.815487171866715	0.802914065120552	0.795798776986991	0.82000164339117	0.70737463823417	0.662173748519299	0.295420204917361	0.62419952289222	0.187514615349301	0.824627452555708	0.798829033450593	0.776959452654852	0.726105950198969	0.52001067374306	0.584729268921987	0.282366693996825	0.213361873628141	0.615360457505994	0.212986974376789	0.25379119014199	0.281884737117954	0.171689183268524
Resistance of ERBB2 KD mutants to sapitinib	0.749525412693783	0.800589143335124	0.791486456858773	0.797498536943286	0.802384669423185	0.713779388822663	0.667495340325624	0.300353328280345	0.611462693654054	0.179701767141821	0.794252306720811	0.790891609515249	0.778496575581565	0.714033342256965	0.535215329143734	0.538838956588897	0.283119127788416	0.217538500984112	0.638476410085733	0.226470102602221	0.240254327020531	0.2899868768498	0.172199384091293
Resistance of ERBB2 KD mutants to lapatinib	0.719035689011041	0.797824412949631	0.799203046616043	0.804695197965598	0.781687700432649	0.710319404893777	0.66786010634654	0.293212780278979	0.608331207804385	0.196184121843378	0.867428833201817	0.830126572431224	0.824638050812085	0.753663921187151	0.544072187819944	0.537630848973329	0.28961266241891	0.20437178535698	0.601435487193807	0.205433934492296	0.246097479557623	0.289914895467996	0.168730438968197
Drug-mediated inhibition of ERBB2 signaling	0.718484743809225	0.828389000152836	0.826145267000439	0.78116863596637	0.834759482813959	0.713770868663937	0.654867804406555	0.283694178532666	0.605961587425353	0.188839032383521	0.803640796105014	0.763516458794453	0.811295927399486	0.722069575169997	0.529857147204948	0.542998798349375	0.289871675764381	0.19701838096882	0.637043034018767	0.210117781272309	0.251951313614873	0.306793858022001	0.171335992494241
Postmitotic nuclear pore complex (NPC) reformation	0.1799115052182	0.0066397590992947	0.0034752893057804	0.00233827692501374	0.0103911070730131	0.76240453600407	0.521143276978466	0.745932592847957	0.776506661492993	0.0198777774434694	0.699938225447191	0.189155111047593	0.337631278784186	0.40579553574142	0.376258914053156	0.546200012559425	0.290110800833323	0.0796978125595415	0.772409335904422	0.31485030358013	0.0280124676707793	0.778788420960742	0.505285434717791
Resistance of ERBB2 KD mutants to neratinib	0.754873492975868	0.85832214843109	0.782366175214748	0.793637937149301	0.81444090544479	0.714591503171912	0.659181218623722	0.293694394936338	0.579077873102894	0.163507262247364	0.805065257405344	0.782457792393226	0.815781919864451	0.72643024724771	0.52949883902253	0.53905562345335	0.290538390339692	0.230644790979157	0.622874605722169	0.227987011653976	0.22296074544759	0.322134955264188	0.15709165395529
Resistance of ERBB2 KD mutants to tesevatinib	0.727328767815268	0.798468811811204	0.788558163511127	0.787806104991594	0.784400501388353	0.722249068261989	0.671487406685424	0.30893396265133	0.603649291375253	0.166426599004539	0.807660128982818	0.812857138143821	0.766418433950048	0.742271602951339	0.523236195824179	0.534191627709398	0.293813935811463	0.186434992066054	0.611772097648345	0.207358707632819	0.223063097643702	0.307744729343083	0.157694328601665
Resistance of ERBB2 KD mutants to afatinib	0.731545461536643	0.790213597803244	0.792387715154401	0.786403326980716	0.849147009760432	0.70903352040773	0.659348034500166	0.298633388238432	0.590940762188607	0.180235366938024	0.80763413367793	0.807874412726297	0.778787440699715	0.722510891698968	0.52866228287891	0.562963788306795	0.295772388662516	0.216775809791212	0.603502353330525	0.23843280941487	0.253781900173531	0.311746016413052	0.181892982173396
RHOBTB3 ATPase cycle	0.456282099614868	0.549743666814336	0.523403621986327	0.416539372076743	0.373987399219338	0.688356049730216	0.738033158438624	0.476637203849845	0.489109646018792	0.0319126842333885	0.756337070807794	0.0379573616320925	0.0227377845645667	0.0272487347023687	0.0751167872891192	0.736482249578446	0.297420502725718	0.0184655458394175	0.733574866071016	0.0545463014647203	0.643954161446429	0.691175465517635	0.0175601318896276
RUNX3 regulates WNT signaling	0.00410757751778119	0.00121637697102123	0.000714814951401162	0.00100264985743482	0.000336608008621866	0.539719926322139	0.245300876732366	0.165376359315188	0.0847643024641703	0.0510061633765836	0.792091229147601	0.688825825492624	0.741811045912576	0.760457812107564	0.762285433175122	0.797781870224388	0.297541949549931	0.124567880059649	0.0930673744776534	0.398937219644567	0.152771269888437	0.803734188042768	0.0489656102261845
Resistance of ERBB2 KD mutants to AEE788	0.721698582815289	0.818693163509269	0.819030776600873	0.844710806783286	0.852667551793193	0.74338955626901	0.672335949641015	0.286425461502484	0.62599569711686	0.164637036645265	0.820014195723763	0.779876438769444	0.761416513995604	0.730383896792576	0.509196301011823	0.567500081412708	0.297898847299454	0.191542669357805	0.619690440085908	0.202183887329461	0.249858237227454	0.292847473876756	0.165487898235433
Resistance of ERBB2 KD mutants to trastuzumab	0.711371898350135	0.839140251883744	0.845367279125608	0.815933629282078	0.80507909470715	0.706825444468435	0.650356709833586	0.273495955690877	0.61945833755164	0.15954656100641	0.807807400938367	0.824063592358954	0.805479283785262	0.748761465416654	0.499094314827111	0.55617918004325	0.298740302142531	0.200224643277235	0.599590983849473	0.222885005429586	0.229573184803836	0.30658022582644	0.171718856891449
SMAD2/3 MH2 Domain Mutants in Cancer	0.746452602836241	0.400207870983948	0.379420736410051	0.373798325757914	0.386863198535043	0.412420174058044	0.718910710767241	0.157426633971982	0.118447950660263	0.156702716645444	0.560432540710063	0.443633421005495	0.419282039290186	0.587848689196506	0.598337023348232	0.749062226818233	0.304202718993936	0.128618810653822	0.770937715829693	0.322254233443986	0.609419726971038	0.425045412061108	0.115123660798682
SUMOylation of SUMOylation proteins	0.169883666761819	0.300248723748251	0.14506003901596	0.210581721813722	0.134079145040153	0.745766577754978	0.771985051347238	0.643034290891003	0.514817559344982	0.0458008242831477	0.764108681456954	0.526690371458354	0.69290411863042	0.713921284519926	0.0546756846293028	0.555838177061574	0.304478434048698	0.5315880162696	0.538045931063698	0.371745728048039	0.100455469090169	0.468267736014749	0.123461931658228
RAS GTPase cycle mutants	0.760184167766984	0.60430511649861	0.667218702770367	0.59187120731834	0.600381364995557	0.260787788835064	0.767908068505314	0.393690169835591	0.329796336022999	0.25618841028999	0.292413236145105	0.342880562243208	0.424905191875367	0.407315611475856	0.30329354028619	0.348347158970665	0.305246800821035	0.271199245739307	0.648893025114451	0.273799485150745	0.278139537899544	0.61220174708288	0.243028611884264
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	0.99936320502732	0.99936320502732	0.99936320502732	0.689136299414089	0.698791435763855	0.199230189135855	0.00703351967362629	0.0836201339901819	0.0901364228838095	0.0124922309408864	0.638383181845315	0.644656333551207	0.648426186637297	0.634552134758317	0.570278294437988	0.624890541506939	0.308986789467828	0.0704234793964084	0.716168765783236	0.054179026098673	0.566052673281792	0.547027313403594	0.0185876159745907
Loss of Function of SMAD4 in Cancer	0.759086320728766	0.396605400974426	0.345837249704312	0.381531107144506	0.3909531331066	0.375091186996356	0.714047408964941	0.142410144674539	0.101018359191353	0.179783999145528	0.56808176145071	0.482683781144317	0.47922149862707	0.629142546197611	0.596289595945353	0.778513032546457	0.318861611867814	0.137726183256956	0.732456216879489	0.356589506163909	0.601460327002426	0.43073901299682	0.108230478564508
